Report_No,Reported_Date,Reported_Time,From_Date,From_Time,To_Date,To_Time,Offense,IBRS,Description,Beat,Address,City,Zip Code,Rep_Dist,Area,DVFlag,Involvement,Race,Sex,Age,Firearm Used Flag,Location
KC19036004,05/16/2019,09:31,05/16/2019,09:25,,,Vehicular – Injury,,,124,E 31ST ST and US 71 HWY,KANSAS CITY,64109,PJ2439,CPD,N,ARR CHA VDR,W,M,34,false,
KC19036100,05/16/2019,15:23,05/05/2019,20:42,,,Stealing – Shoplift,23H,All Other Larceny,233,8500  STATE LINE RD,KANSAS CITY,64114,,MPD,N,VIC,,,,false,
KC19036246,05/17/2019,00:44,05/17/2019,00:45,05/17/2019,01:45,City/Municipal Warrant Arrest,,,313,INDEPENDENCE AVE and BENTON BLVD,KANSAS CITY,64124,PJ0609,EPD,N,ARR CHA PED SUS,B,M,36,false,
KC19036398,05/17/2019,10:55,05/16/2019,19:00,,,Stolen Auto,240,Motor Vehicle Theft,611,2600  NE CHOUTEAU,KANSAS CITY,,,SCP,N,SUS,,M,30,false,
KC19036530,05/17/2019,21:16,05/17/2019,21:01,,,Robbery (Business),120,Robbery,213,5100  BLUE RIDGE CTOF,KANSAS CITY,64129,PJ4246,MPD,N,VIC,,,,true,
KC19036743,05/18/2019,17:33,02/14/2019,20:00,,,Rape,11A,Forcible Rape,125,2900  WAYNE ST,KANSAS CITY,,,CPD,N,SUS,B,M,,false,
KC19036878,05/19/2019,12:33,05/19/2019,11:48,,,Recovered Stolen Auto,,,541,E 87TH ST and N I 435 HWY,KANSAS CITY,61437,,SPD,N,VIC,W,M,41,false,
KC19036939,05/19/2019,17:34,05/19/2019,17:34,,,Domestic Violence Assault (Aggravated),13A,Aggravated Assault,115,E 26TH ST and CHERRY ST,KANSAS CITY,64108,PJ2097,CPD,Y,ARR CHA SUS,B,F,,false,
KC19037093,05/20/2019,08:22,05/20/2019,09:08,,,City/Municipal Warrant Arrest,,,534,105 ST and HOLMES RD,KANSAS CITY,,,SPD,N,ARR CHA SUS,B,M,42,false,
KC19037132,05/20/2019,10:54,05/10/2019,01:00,05/10/2019,01:00,Property Damage,290,Vandalism/Destruction of Property,331,2700  BENTON BLVD,KANSAS CITY,64127,,EPD,N,SUS,B,M,,false,
KC19037223,05/20/2019,15:45,05/20/2019,15:45,,,Outside State Warrant Arrest,,,312,WINNER RD and I 435 HWY NE,KANSAS CITY,,PJ0548,EPD,N,ARR SUS,W,M,53,false,
KC19037256,05/20/2019,16:02,05/20/2019,16:00,,,Stealing – Shoplift,23C,Shoplifting,634,5200  N ANTIOCH RD,KANSAS CITY,64119,PC0788,SCP,N,VIC,,,,false,
KC19037319,05/20/2019,21:30,05/20/2019,20:58,,,Stolen Auto,240,Motor Vehicle Theft,133,WESTPORT RD and BROADWAY,KANSAS CITY,,PJ3215,CPD,N,VIC,W,M,24,false,
KC19037450,05/21/2019,13:04,05/21/2019,13:04,05/21/2019,13:34,Stealing – Shoplift,23C,Shoplifting,634,5300  N CHOUTEAU TRFY,KANSAS CITY,64119,PC0788,SCP,N,VIC,,,,false,
KC19037487,05/21/2019,13:43,05/21/2019,13:45,,,Recovered Stolen Auto,240,Motor Vehicle Theft,635,4300  N CORRINGTON AVE,KANSAS CITY,64119,PC1130,SCP,N,VIC,W,M,33,false,
KC19037620,05/21/2019,22:53,05/22/2019,01:34,,,State Warrant Arrest,,,999,7000  E 163RD ST,BELTON,64012,,OSPD,N,ARR CHA SUS,W,F,42,false,"7000  E 163RD ST
BELTON 64012
(38.828092, -94.513432)"
KC19037796,05/22/2019,14:22,05/22/2019,13:30,,,Assault (Non-Aggravated),13A,Aggravated Assault,636,3600  N RANDOLPH RD,KANSAS CITY,64161,,SCP,Y,SUS,W,M,33,true,
KC19037949,05/22/2019,23:17,05/22/2019,23:41,,,City/Municipal Warrant Arrest,,,122,E 11 ST and EUCLID,KANSAS CITY,,,CPD,N,ARR CHA SUS,B,M,45,false,
KC19037995,05/23/2019,06:07,05/23/2019,05:00,,,Stealing – Shoplift,23C,Shoplifting,,3200  INDEPENDENCE AVE,KANSAS CITY,64123,,,N,ARR CHA SUS,W,F,29,false,
