Report_No,Reported_Date,Reported_Time,From_Date,From_Time,To_Date,To_Time,Offense,IBRS,Description,Beat,Address,City,Zip Code,Rep_Dist,Area,DVFlag,Involvement,Race,Sex,Age,Firearm Used Flag,Location
KC19055910,07/26/2019,07:48,07/26/2019,10:10,,,Recovered Stolen Auto,,,641,63RD ST and TOPPING AVE,KANSAS CITY,,,SCP,N,VIC A01,U,M,29,false,
KC19056450,07/28/2019,10:18,07/28/2019,10:18,,,Terroristic Threats,,,122,2200  TRUMAN ROAD,KANSAS CITY,64127,,CPD,N,SUS,,M,47,false,
KC19056715,07/29/2019,12:07,06/01/2019,08:00,,,Stealing – Other,23H,All Other Larceny,635,51400  N BELLAIRE AVE,KANSAS CITY,64119,PC0860,SCP,N,CMP VIC,W,F,63,false,
KC19056821,07/29/2019,17:52,07/29/2019,17:26,07/29/2019,18:00,Stealing – Shoplift,23C,Shoplifting,345,11600  E US 40 HWY,KANSAS CITY,64133,PJ3601,EPD,N,VIC,,,,false,
KC19056833,07/29/2019,18:59,07/29/2019,18:59,,,Rape,11A,Forcible Rape,342,E 24TH ST and HARDESTY AVE,KANSAS CITY,64127,PJ1992,EPD,N,CMP VIC,W,F,35,false,
KC19056900,07/30/2019,00:44,07/30/2019,00:44,,,City/Municipal Warrant Arrest,,,999,00  NE TUDOR RD,LEES SUMMIT,64086,,OSPD,N,ARR CHA SUS,W,F,32,false,
KC19056931,07/30/2019,07:32,07/29/2019,21:39,,,Fraudulent Use of a Credit Device,26B,Credit Card / Automatic Teller,641,8300  N CHURCH RD,KANSAS CITY,64157,PC0387,SCP,N,CMP VIC,W,M,26,false,
KC19056981,07/30/2019,10:31,07/30/2019,10:30,,,Property Damage,,,636,3800  N ARLINGTON AVE,KANSAS CITY,,PC1347,SCP,N,VIC,,,,false,"3800  N ARLINGTON AVE
KANSAS CITY
(39.162612, -94.461887)"
KC19057112,07/30/2019,16:50,07/30/2019,18:45,07/30/2019,18:49,Stolen Auto,240,Motor Vehicle Theft,345,11600  E US 40 HWY,KANSAS CITY,64133,PJ3601,EPD,N,SUS,W,M,,false,
KC19057316,07/31/2019,11:37,07/29/2019,17:30,,,Stolen Auto,,,345,8700  E US 40 HWY,KANSAS CITY,,,MPD,N,VIC,,,,false,"8700  E US 40 HWY
KANSAS CITY
(39.062979, -94.480313)"
KC19057531,08/01/2019,07:15,07/31/2019,23:00,08/01/2019,07:15,Unfounded,,,531,10000  WALNUT ST,KANSAS CITY,64114,,SPD,N,VIC,W,M,78,false,"10000  WALNUT ST
KANSAS CITY 64114
(38.949501, -94.590428)"
KC19057650,08/01/2019,15:34,08/01/2019,15:34,,,Domestic Violence Assault (Non-Aggravated),13B,Simple Assault,223,E 55TH ST and PROSPECT AVE,KANSAS CITY,64130,,MPD,Y,SUS,W,M,33,false,
KC19057707,08/01/2019,15:22,08/01/2019,15:13,,,Stealing – Shoplift,23C,Shoplifting,213,5100  BLUE RIDGE CTOF,KANSAS CITY,64129,PJ4246,MPD,N,SUS,B,M,,false,
KC19057790,08/02/2019,09:25,07/30/2019,12:00,08/01/2019,12:00,Stolen Auto,240,Motor Vehicle Theft,342,2800  OAKLEY AVE,KANSAS CITY,64127,PJ2337,EPD,N,VIC,B,M,32,false,
KC19057844,08/02/2019,12:35,08/02/2019,10:30,,,Stolen Auto,240,Motor Vehicle Theft,111,1700  BROADWAY BLVD,KANSAS CITY,64108,PJ1504,CPD,N,VIC,W,M,55,false,"1700  BROADWAY BLVD
KANSAS CITY 64108
(39.092285, -94.588778)"
KC19058068,08/03/2019,09:07,08/03/2019,09:07,08/03/2019,10:23,Endangering the Welfare of a Child,90Z,All Other Offenses,223,3400  E 63 ST,KANSAS CITY,64131,,MPD,N,ARR CHA SUS,W,F,45,false,
KC19058104,08/03/2019,12:41,08/03/2019,11:30,08/03/2019,12:30,Stealing – Shoplift,23C,Shoplifting,345,11600  E US 40 HWY,KANSAS CITY,64133,PJ3601,EPD,N,VIC,,,,false,
KC19058123,08/03/2019,13:53,08/03/2019,13:50,,,Vehicular – Non-Injury,,,414,N I 29 HWY N and NW 64TH ST,KANSAS CITY,64151,PP0587,NPD,N,CHA VDR,W,M,74,false,
KC19058199,08/03/2019,19:33,08/03/2019,19:33,,,Assault (Aggravated),13A,Aggravated Assault,242,E 80TH ST and PROSPECT AVE,KANSAS CITY,64132,PJ5913,MPD,N,VIC,W,M,40,false,
KC19058346,08/04/2019,14:37,08/04/2019,14:37,,,Stolen Auto,240,Motor Vehicle Theft,631,600  NE TERRACE DR,KANSAS CITY,,PC1281,SCP,N,VIC,W,M,37,false,"600  NE TERRACE DR
KANSAS CITY
(39.1657, -94.574528)"
KC19058359,08/04/2019,15:42,08/04/2019,15:41,,,Assault (Non-Aggravated) on Department Member/Outside Law Enforcement Officer,90Z,All Other Offenses,124,2400  PARK AVE,KANSAS CITY,64127,PJ1971,CPD,N,VIC,W,F,,false,"2400  PARK AVE
KANSAS CITY 64127
(39.08322, -94.555649)"
KC19058387,08/04/2019,17:41,08/04/2019,17:14,,,Recovered Property,,,125,E ARMOUR BLVD and TROOST AVE,KANSAS CITY,64109,PJ2775,CPD,N,SUS,B,F,36,false,
KC19058470,08/05/2019,00:20,08/05/2019,00:20,,,City/Municipal Warrant Arrest,,,999,00  NE TUDOR RD,LEE SUMMIT,,,OSPD,N,ARR CHA SUS,B,M,26,false,
KC19058482,08/05/2019,01:00,08/04/2019,23:00,08/05/2019,01:00,Stolen Auto,240,Motor Vehicle Theft,342,E I-70 HWY and I-435 HWY,KANSAS CITY,,PJ3554,EPD,N,VIC,W,M,31,false,
KC19058587,08/05/2019,12:15,08/05/2019,12:15,,,City/Municipal Warrant Arrest,,,642,NE BARRY RD and N OAK TRFY,KANSAS CITY,64155,PC0375,SCP,N,ARR SUS,W,M,36,false,
KC19058618,08/05/2019,15:09,07/26/2019,:,08/01/2019,23:59,Identity Theft,26F,Identity Theft,221,4900  WARD PKWY,KANSAS CITY,64112,PJ3939,MPD,N,VIC,W,M,30,false,
KC19058821,08/06/2019,10:56,08/06/2019,10:45,,,Outside State Warrant Arrest,,,211,5100  MERSINGTON WAY,KANSAS CITY,,,MPD,N,ARR CHA SUS,B,M,43,false,
KC19058881,08/06/2019,14:56,08/06/2019,14:56,,,Stealing – Shoplift,23C,Shoplifting,345,11600  E US 40 HWY,KANSAS CITY,64133,PJ3601,EPD,N,VIC,,,,false,
KC19058942,08/06/2019,17:40,08/06/2019,17:35,,,Stealing – Shoplift,23C,Shoplifting,345,11600  E US 40 HWY,KANSAS CITY,64133,PJ3601,EPD,N,ARR CHA SUS,B,M,60,false,
KC19059081,08/07/2019,08:22,08/07/2019,08:22,,,Robbery (Armed Street),120,Robbery,132,E 39TH ST and MCGEE ST,KANSAS CITY,64111,,CPD,N,VIC,U,F,25,false,
KC19059233,08/07/2019,14:27,08/06/2019,07:46,,,Violation of Ex-Parte Order of Protection,,,211,3800  BLUE PKWY,KANSAS CITY,64130,PJ4079,MPD,Y,VIC,B,F,51,false,"3800  BLUE PKWY
KANSAS CITY 64130
(39.036183, -94.540744)"
KC19059417,08/08/2019,09:40,08/08/2019,09:40,,,Miscellaneous Investigation,,,NA,E 18 AVE and DIAMOND PKWY,NORTH KANSAS CITY,,,OSPD,N,SUS,,M,31,false,
KC19059890,08/09/2019,20:29,08/09/2019,20:29,,,Assault (Aggravated),13A,Aggravated Assault,114,I 35 HWY N and SOUTHWEST BLVD,KANSAS CITY,,,CPD,N,VIC,B,M,27,true,
KC19060271,08/11/2019,08:22,08/11/2019,02:00,,,Assault (Non-Aggravated),13B,Simple Assault,122,KANSAS CITY,KANSAS CITY,,,CPD,N,SUS,B,M,,true,
KC19060427,08/11/2019,21:31,08/11/2019,21:31,,,Domestic Violence Assault (Non-Aggravated),13B,Simple Assault,311,ST JOHN AVE and BENTON BLVD,KANSAS CITY,,PJ0332,EPD,Y,ARR CHA SUS,B,F,48,false,
KC19060583,08/12/2019,11:09,08/12/2019,11:08,,,Stealing – Shoplift,,,641,8700  N EVANSTON AVE,KANSAS CITY,,,SCP,N,VIC,,,,false,
KC19060939,08/13/2019,15:36,08/12/2019,17:45,08/12/2019,18:15,Embezzlement,23D,Theft From Building,121,2300  INDEPENDENCE BLVD,KANSAS CITY,64106,PJ0545,CPD,N,VIC,,,,false,
KC19061021,08/13/2019,17:39,08/13/2019,17:30,,,Stolen Auto,240,Motor Vehicle Theft,345,4200  STERLING AVE,KANSAS CITY,64133,PJ3601,EPD,N,VIC,W,M,75,false,
KC19061071,08/13/2019,22:27,08/13/2019,22:27,,,Trespass of Real Property,,,112,1200  MCGEE,KANSAS CITY,,,CPD,N,VIC,,,,false,"1200  MCGEE
KANSAS CITY
(39.099816, -94.57974)"
KC19061118,08/14/2019,07:17,08/14/2019,06:55,,,Possession/Sale/Distribution of a Controlled Substance,,,115,00  W PERSHING RD,KANSAS CITY,,PJ1831,CPD,N,ARR CHA SUS,W,M,20,false,
KC19061251,08/14/2019,15:24,08/14/2019,15:12,08/14/2019,15:16,Stealing – Shoplift,,,542,9400  BLUE RIDGE BLVD,KANSAS CITY,64134,,SPD,N,VIC,,,,false,
KC19061284,08/14/2019,17:28,08/14/2019,17:28,,,Vehicular – Non-Injury Hit and Run,,,123,E 28TH ST and FOREST AVE,KANSAS CITY,64109,PJ2300,CPD,N,VIC,,,,false,
KC19061395,08/15/2019,05:40,08/15/2019,05:40,,,City/Municipal Warrant Arrest,,,545,E I 470 HWY E and BLUE RIDGE BLVD,KANSAS CITY,,PJ6802,SPD,N,ARR CHA SUS,B,M,35,false,
KC19061429,08/15/2019,08:23,08/15/2019,08:30,,,City/Municipal Warrant Arrest,,,411,N BROADWAY BLVD and NW HARLEM RD,KANSAS CITY,64116,PC1489,NPD,N,ARR CHA SUS,B,M,20,false,
KC19061625,08/15/2019,19:44,08/15/2019,18:30,,,Harassment / Intimidation - Domestic Violence,13C,Intimidation,242,7600  PROSPECT AVE,KANSAS CITY,64132,PJ5702,MPD,N,VIC,W,F,26,false,"7600  PROSPECT AVE
KANSAS CITY 64132
(38.987189, -94.557459)"
KC19061661,08/15/2019,15:19,08/15/2019,15:19,,,Assault (Aggravated),13A,Aggravated Assault,341,2000  TOPPING AVE,KANSAS CITY,64126,,EPD,Y,VIC SUS,B,M,35,false,
KC19061833,08/16/2019,09:59,08/16/2019,13:00,,,Stealing – Shoplift,23C,Shoplifting,345,11600  E US 40 HWY,KANSAS CITY,64133,PJ3601,EPD,N,VIC,,,,false,
KC19061907,08/16/2019,15:20,08/04/2019,01:00,08/04/2019,08:00,Rape,,,543,7500  E 112 TER,KANSAS CITY,64134,,SPD,Y,VIC,B,F,,false,
KC19061939,08/16/2019,18:42,08/16/2019,12:38,,,Stealing from Auto (Theft from Auto),23F,Theft From Motor Vehicle,422,6200  NW BARRY RD,KANSAS CITY,64152,,NPD,N,SUS,W,F,45,false,
KC19062217,08/17/2019,21:00,08/17/2019,21:00,,,Stealing – Shoplift,23C,Shoplifting,233,8500  STATE LINE RD,KANSAS CITY,64114,,MPD,N,ARR CHA SUS,B,M,,false,
KC19062222,08/17/2019,21:57,08/17/2019,21:53,,,Robbery (Business),,,231,00  W 63RD ST,KANSAS CITY,64113,,MPD,N,VIC,B,M,27,false,
KC19062345,08/18/2019,14:12,08/17/2019,23:30,,,Property Damage,,,133,PENNSYLVANIA AVE and W 42ND ST,KANSAS CITY,64111,PJ3306,CPD,N,VIC,W,M,25,false,
KC19062543,08/19/2019,07:43,08/19/2019,07:40,,,Arson,200,Arson,312,1100  EWING AVE,KANSAS CITY,64126,PJ1171,EPD,N,VIC,W,M,36,false,"1100  EWING AVE
KANSAS CITY 64126
(39.098465, -94.503073)"
KC19062622,08/19/2019,09:07,08/19/2019,11:59,,,City/Municipal Warrant Arrest,,,999,00  S WATER ST,LIBERTY,64068,,OSPD,N,ARR CHA SUS,W,F,58,false,
KC19062659,08/19/2019,14:12,08/19/2019,14:12,,,Stolen Auto,240,Motor Vehicle Theft,143,S EUCLID AVE and E 39TH ST,KANSAS CITY,64110,,CPD,N,SUS,W,M,32,false,
KC19062740,08/19/2019,17:35,04/01/2017,22:00,,,Rape - Juvenile,11A,Forcible Rape,412,8500  NE 107 TER,KANSAS CITY,64157,,NPD,N,VIC,W,F,,false,
KC19062881,08/20/2019,09:29,08/20/2019,05:15,,,Burglary (Non-Residential),220,Burglary/Breaking and Entering,533,11800  HOLMES RD,KANSAS CITY,64114,PJ7227,SPD,N,SUS,W,M,30,false,
KC19062999,08/20/2019,16:48,08/19/2019,16:00,08/20/2019,12:00,Stolen Auto,280,Stolen Property Offenses,141,500  E ARMOUR BLVD,KANSAS CITY,64111,PJ2834,CPD,N,VIC,W,F,21,false,
KC19063054,08/20/2019,18:50,08/20/2019,18:50,08/20/2019,19:28,Domestic Violence Property Damage,290,Vandalism/Destruction of Property,312,CORRINGTION AVE and FRONT ST,KANSAS CITY,,,EPD,Y,SUS,W,M,21,false,
KC19063122,08/21/2019,00:20,08/21/2019,00:20,,,Domestic Violence Assault (Non-Aggravated),,,313,400  BELLEFONTAINE AVE,KANSAS CITY,64123,,EPD,N,VIC,W,F,58,false,
KC19063141,08/21/2019,03:26,08/19/2019,08:00,,,Failure to Return Leased or Rented Property,,,313,E 9TH ST and PROSPECT AVE,KANSAS CITY,64127,PJ0864,EPD,N,SUS,B,M,49,false,
KC19063256,08/21/2019,13:25,08/21/2019,13:20,,,Stealing – Shoplift,,,345,11600  E US 40 HWY,KANSAS CITY,64133,PJ3601,EPD,N,VIC,,,,false,
KC19063455,08/22/2019,03:55,08/22/2019,03:46,,,Sexual Misconduct,11D,Forcible Fondling,242,8400  OLIVE ST,KANSAS CITY,64130,PJ6095,MPD,N,VIC,W,F,54,false,
KC19063495,08/22/2019,08:37,08/21/2019,19:30,08/22/2019,07:30,Property Damage,,,323,2500  COLLEGE AVE,KANSAS CITY,64128,PJ2116,EPD,N,VIC,B,M,30,false,
KC19063591,08/22/2019,14:36,08/22/2019,14:36,08/22/2019,15:29,Assault (Aggravated),13A,Aggravated Assault,125,E ARMOUR BLVD and TROOST AVE,KANSAS CITY,64109,PJ2775,CPD,N,VIC,,,,false,
KC19063622,08/22/2019,16:19,08/21/2019,20:50,,,Stealing – Shoplift,23C,Shoplifting,531,500  E 99 ST,KANSAS CITY,64114,,SPD,N,VIC,,,,false,
KC19063645,08/22/2019,17:16,08/22/2019,17:10,,,Property Damage,290,Vandalism/Destruction of Property,113,1500  CHERRY AVE,KANSAS CITY,64106,,,N,VIC,W,M,30,false,
KC19063789,08/23/2019,07:39,08/23/2019,07:38,,,Vehicular – Injury,,,644,NE COOKINGHAM DR E and N I 435 HWY S,KANSAS CITY,64157,PC0029,SCP,N,ARR CHA VDR,W,M,18,false,
KC19063990,08/23/2019,17:12,08/23/2019,16:48,,,Stealing – Shoplift,23C,Shoplifting,233,8500  STATE LINE RD,KANSAS CITY,64114,,MPD,N,VIC,,,,false,
KC19064344,08/25/2019,06:30,08/25/2019,06:00,,,Assault (Aggravated),,,334,4200  CLEVELAND AVE,KANSAS CITY,,,EPD,N,VIC,B,F,45,false,"4200  CLEVELAND AVE
KANSAS CITY
(39.049424, -94.540057)"
KC19064363,08/25/2019,08:32,08/25/2019,08:00,,,Trespass of Real Property,,,421,7100  NW BARRY RD,KANSAS CITY,64152,PP0365,NPD,N,VIC,,,,false,
KC19064712,08/26/2019,13:37,08/26/2019,13:37,08/26/2019,14:15,Disorderly Conduct,90C,Disorderly Conduct,131,W 39TH ST and BELL ST,KANSAS CITY,64111,PJ3020,CPD,N,VIC,,,,false,
KC19064862,08/27/2019,01:31,08/27/2019,01:31,,,City/Municipal Warrant Arrest,,,331,E 31ST ST and PROSPECT AVE,KANSAS CITY,,PJ2484,EPD,N,ARR CHA SUS,B,M,29,false,
KC19065137,08/27/2019,20:05,08/27/2019,19:00,,,Domestic Violence Assault (Aggravated),13B,Simple Assault,413,62500  LONDON AVE,KANSAS CITY,64151,,NPD,Y,CMP VIC,W,F,24,false,
KC19065191,08/28/2019,00:41,08/28/2019,02:50,,,State Warrant Arrest,,,311,200  N MEMORIAL DR,INDEPENDENCE,64050,,EPD,N,ARR CHA SUS,B,M,49,false,"200  N MEMORIAL DR
INDEPENDENCE 64050
(39.092706, -94.413165)"
KC19065316,08/28/2019,13:11,,:,,,Receiving Stolen Property,,,343,3000  VAN BRUNT S,KANSAS CITY,,,EPD,N,SUS,W,F,41,false,
KC19065500,08/29/2019,00:48,08/29/2019,00:48,,,Possession/Sale/Distribution of a Controlled Substance,90Z,All Other Offenses,132,W 38TH ST and BALTIMORE AVE,KANSAS CITY,64111,PJ2974,CPD,N,ARR CHA SUS,B,M,39,false,
KC19065544,08/29/2019,08:19,08/29/2019,08:19,,,Vehicular – Non-Injury,,,114,35 HWY and SOUTHWEST BLVD,KANSAS CITY,,,CPD,N,ARR CHA VDR,W,F,39,false,
KC19065635,08/29/2019,13:17,08/29/2019,13:10,,,Outside State Warrant Arrest,,,144,4500  FORREST,KANSAS CITY,,,CPD,N,ARR CHA SUS,W,M,31,false,
KC19065673,08/29/2019,14:47,08/29/2019,14:47,08/29/2019,16:00,City/Municipal Warrant Arrest,,,211,58 ST and SWOPE PKWY,KANSAS CITY,64131,,MPD,N,ARR CHA SUS,B,M,25,false,
KC19065807,08/29/2019,17:39,08/29/2019,17:26,,,Outside State Warrant Arrest,,,999,2500  MECHANIC,HARRISONVILLE,46988,,OSPD,N,ARR CHA SUS,W,M,35,false,
KC19066063,08/30/2019,20:31,08/30/2019,20:32,,,Assault (Aggravated),13A,Aggravated Assault,415,500  NW 72ND ST,KANSAS CITY,64152,,NPD,N,VIC,W,M,29,false,
KC19066278,08/31/2019,16:58,08/30/2019,21:00,08/31/2019,01:00,Property Damage,290,Vandalism/Destruction of Property,415,500  NW 72ND ST,KANSAS CITY,64152,,NPD,N,SUS,B,M,44,false,
KC19066390,09/01/2019,01:44,09/01/2019,01:20,,,Vehicular – Non-Injury Hit and Run,,,345,E 58TH ST and NORFLEET RD,KANSAS CITY,64133,PJ4610,EPD,N,VIC POD,,M,,false,
KC19066471,09/01/2019,12:05,09/01/2019,12:00,,,Assault (Non-Aggravated),13B,Simple Assault,233,8200  PASEO,KANSAS CITY,64132,PJ5995,MPD,N,VIC,B,F,57,false,
KC19066515,09/01/2019,15:58,09/01/2019,15:51,,,Miscellaneous Investigation,90Z,All Other Offenses,542,E BANNISTER RD and BLUE RIDGE BLVD,KANSAS CITY,64134,PJ6485,SPD,N,VIC,,,,false,
KC19066594,09/01/2019,23:07,09/01/2019,23:00,,,State Warrant Arrest,,,543,7700  E 118TH TER,KANSAS CITY,64134,PJ7309,SPD,N,ARR CHA SUS,B,M,48,false,"7700  E 118TH TER
KANSAS CITY 64134
(38.908127, -94.503273)"
KC19066624,09/02/2019,02:06,09/02/2019,02:06,,,Driving While Suspended/Revoked (State Offense),90D,Driving Under the Influence,414,NW 72ND ST and NW PRAIRIE VIEW RD,KANSAS CITY,64151,PP0579,NPD,N,ARR CHA SUS,W,M,37,false,
KC19066661,09/02/2019,07:49,09/02/2019,09:25,09/02/2019,10:12,City/Municipal Warrant Arrest,,,999,00  S WATER ST,LIBERTY,64068,,OSPD,N,ARR CHA,W,F,28,false,
KC19066713,09/02/2019,14:21,09/02/2019,12:00,09/02/2019,13:30,Stolen Auto,240,Motor Vehicle Theft,121,2500  INDEPENDENCE BLVD,KANSAS CITY,64123,PJ0573,CPD,N,CMP VIC,W,M,,false,
KC19066739,09/02/2019,16:02,09/02/2019,16:02,,,Assault (Non-Aggravated),13B,Simple Assault,631,600  NE 42ND TER,KANSAS CITY,,PC1180,SCP,N,CHA SUS,W,M,27,false,"600  NE 42ND TER
KANSAS CITY
(39.171126, -94.574005)"
KC19066753,09/02/2019,17:20,09/02/2019,17:20,,,Outside State Warrant Arrest,,,634,NE VIVION RD and N CHELSEA AVE,KANSAS CITY,64119,PC0867,SCP,N,ARR CHA,W,M,33,false,
KC19066926,09/03/2019,10:16,09/03/2019,10:16,,,State Warrant Arrest,,,113,00  E 13TH ST,KANSAS CITY,64105,,CPD,N,SUS,W,M,34,false,
KC19067149,09/03/2019,22:44,09/03/2019,22:44,,,Domestic Violence Assault (Aggravated),13A,Aggravated Assault,222,5700  MICHIGAN AVE,KANSAS CITY,64132,,MPD,Y,VIC,B,F,39,false,
KC19067330,09/04/2019,15:09,09/04/2019,15:08,,,Domestic Violence Property Damage,290,Vandalism/Destruction of Property,341,2000  TOPPING AVE,KANSAS CITY,64126,,EPD,Y,VIC,B,F,23,false,
KC19067543,09/05/2019,10:42,09/05/2019,10:42,09/05/2019,11:30,Property Damage,290,Vandalism/Destruction of Property,231,W 74TH ST and BROADWAY,KANSAS CITY,64111,PJ5551,MPD,N,ARR CHA SUS,B,M,41,false,
KC19067567,09/05/2019,12:18,08/31/2019,14:56,,,Casualty,,,413,6200  NW LONDON RD,KANSAS CITY,64151,,NPD,N,VIC,B,F,64,false,
KC19067597,09/05/2019,13:54,09/05/2019,13:52,,,Vehicular – Injury,,,111,W I 670 HWY W and WYOMING ST,KANSAS CITY,64102,PJ1082,CPD,N,ARR CHA VDR,W,M,37,false,
KC19067769,09/06/2019,01:51,09/06/2019,01:51,,,State Warrant Arrest,,,332,E 34TH ST and PROSPECT AVE,KANSAS CITY,64128,PJ2732,EPD,N,ARR SUS,B,F,59,false,
KC19067823,09/06/2019,09:18,09/06/2019,09:18,,,Assault (Non-Aggravated),13B,Simple Assault,234,9300  BALES,KANSAS CITY,64130,,MPD,N,ARR CHA SUS,B,M,54,false,
KC19068173,09/07/2019,11:08,09/07/2019,11:05,,,Vehicular – Injury,,,243,435 HWY and E 83 ST,KANSAS CITY,,,MPD,N,CHA VDR,B,F,65,false,
KC19068203,09/07/2019,10:28,09/07/2019,10:28,,,Property Damage,290,Vandalism/Destruction of Property,321,1000  AGNES AVE,KANSAS CITY,,PJ0991,EPD,N,VIC,B,F,54,false,"1000  AGNES AVE
KANSAS CITY
(39.101291, -94.546965)"
KC19068284,09/07/2019,16:01,09/07/2019,20:06,,,Stealing – Shoplift,23C,Shoplifting,213,8700  E 63RD TRFY,KANSAS CITY,64110,,MPD,N,SUS,B,F,20,false,
KC19068304,09/07/2019,20:25,09/07/2019,19:45,,,Domestic Violence Robbery (Strong-Armed),120,Robbery,241,E MEYER BLVD and SWOPE PKWY,KANSAS CITY,64132,PJ5071,MPD,Y,CMP VIC,B,F,50,false,
KC19068368,09/08/2019,05:53,09/08/2019,05:53,,,Domestic Violence Assault (Non-Aggravated),13B,Simple Assault,341,E 20TH ST and TOPPING AVE,KANSAS CITY,64126,PJ1735,EPD,Y,SUS,B,M,29,false,
KC19068528,09/09/2019,00:17,09/09/2019,00:17,,,Robbery (Armed Street),120,Robbery,636,3600  N RANDOLPH RD,KANSAS CITY,64161,,SCP,Y,SUS,W,M,,true,
KC19068580,09/09/2019,05:57,09/09/2019,09:15,,,Stealing – Shoplift,23C,Shoplifting,345,11600  E US 40 HWY,KANSAS CITY,64133,PJ3601,EPD,N,VIC,,,,false,
KC19068672,09/09/2019,13:35,09/09/2019,09:14,,,Stolen Auto,240,Motor Vehicle Theft,311,3200  INDEPENDENCE AVE,KANSAS CITY,64123,,EPD,N,VIC,B,M,64,false,
KC19068787,09/09/2019,19:36,09/09/2019,19:19,,,Property Damage,290,Vandalism/Destruction of Property,534,4300  E 113TH TER,KANSAS CITY,64134,PJ7131,SPD,N,VIC,B,M,51,false,
KC19068798,09/09/2019,20:57,09/09/2019,18:09,,,Stealing – Shoplift,23C,Shoplifting,312,5900  INDEPENDENCE AVE,KANSAS CITY,64124,,EPD,N,VIC,,,,false,
KC19068863,09/10/2019,05:07,09/10/2019,05:07,,,Robbery (Business),120,Robbery,143,4000  TROOST AVE,KANSAS CITY,64109,PJ3232,CPD,N,VIC,,,,true,
KC19068995,09/10/2019,14:28,09/05/2019,18:00,09/10/2019,14:00,Missing Person,,,313,23RD ST and VINE ST,KANSAS CITY,,,EPD,N,VIC,B,M,25,false,"23RD ST and VINE ST
KANSAS CITY
(39.084715, -94.563672)"
KC19069120,09/10/2019,22:31,09/10/2019,20:00,09/10/2019,20:30,Loss,,,242,E 73RD ST and AGNES AVE,KANSAS CITY,64132,PJ5511,MPD,N,VIC,B,M,60,false,
KC19069205,09/11/2019,09:35,09/10/2019,21:00,09/11/2019,08:55,Property Damage,290,Vandalism/Destruction of Property,221,100  WARD PKWY,KANSAS CITY,64112,,MPD,N,VIC,U,M,33,false,"100  WARD PKWY
KANSAS CITY 64112
(39.040779, -94.588826)"
KC19069471,09/12/2019,01:43,09/12/2019,01:43,,,Assault (Aggravated),13A,Aggravated Assault,344,BLUE RIDGE CTOF and PEAK DR,KANSAS CITY,,,EPD,N,INA SUS,B,M,26,false,
KC19069510,09/12/2019,08:53,09/12/2019,07:30,,,Assault (Non-Aggravated),13B,Simple Assault,223,E 62ND ST and WALROND AVE,KANSAS CITY,,PJ4856,MPD,N,SUS,B,F,,false,
KC19053678,07/18/2019,01:20,07/17/2019,20:00,,,Sodomy - Juvenile,11B,Forcible Sodomy,632,4100  N JACKSON AVE,KANSAS CITY,64117,,SCP,N,VIC,W,F,,false,"4100  N JACKSON AVE
KANSAS CITY 64117
(39.168365, -94.530686)"
KC19070097,09/14/2019,01:34,09/14/2019,01:34,,,Unfounded,,,233,7900  GARFIELD AVE,KANSAS CITY,64131,,MPD,N,ARR SUS,B,M,38,false,
KC19070422,09/15/2019,12:07,09/15/2019,12:45,,,City/Municipal Warrant Arrest,90Z,All Other Offenses,541,BANNISTER and HILLCREST,KANSAS CITY,,,SPD,N,SUS,B,M,24,false,
KC19070535,09/15/2019,21:52,09/15/2019,21:52,,,Domestic Violence Assault (Non-Aggravated),,,233,900  E 84 ST,KANSAS CITY,64132,,MPD,Y,VIC,W,F,27,false,
KC19070555,09/16/2019,00:15,09/16/2019,00:10,,,Domestic Violence Assault (Non-Aggravated),13B,Simple Assault,542,9400  MCKINLEY AVE,KANSAS CITY,,PJ6512,SPD,Y,VIC SUS,B,M,43,false,
KC19070782,09/16/2019,16:15,09/16/2019,16:17,,,Trespass of Real Property,90J,Trespass of Real Property,222,4900  WABASH AVE,KANSAS CITY,64131,PJ3945,MPD,N,SUS CHA,W,F,28,false,
KC19070823,09/16/2019,18:37,09/16/2019,18:37,,,City/Municipal Warrant Arrest,,,332,E 35TH ST and PROSPECT AVE,KANSAS CITY,64128,PJ2873,EPD,N,ARR CHA SUS,B,F,40,false,
KC19071543,09/18/2019,21:44,09/19/2019,02:00,,,Domestic Violence Assault (Aggravated),13A,Aggravated Assault,322,2600  10TH,KANSAS CITY,,,EPD,Y,VIC,B,M,42,false,
KC19071650,09/19/2019,08:52,09/18/2019,18:00,09/19/2019,08:00,Stealing from Auto (Theft from Auto),23F,Theft From Motor Vehicle,231,300  E 69TH TER,KANSAS CITY,64132,PJ5242,MPD,N,VIC,W,M,30,false,
KC19072382,09/21/2019,23:50,09/21/2019,23:50,,,City/Municipal Warrant Arrest,,,000,00  S WATER ST,LIBERTY,64068,,OSPD,N,ARR CHA SUS,W,M,37,false,
KC19072441,09/22/2019,10:27,09/22/2019,10:25,,,Assault (Non-Aggravated),90C,Disorderly Conduct,142,1200  E ARMOUR BLVD,KANSAS CITY,64111,,CPD,N,VIC,W,M,41,false,
KC19068655,09/09/2019,12:17,09/09/2019,12:15,,,Assault (Aggravated),13A,Aggravated Assault,341,E 13TH ST and BELMONT AVE,KANSAS CITY,,PJ1286,EPD,N,VIC SOC,U,M,18,true,"E 13TH ST and BELMONT AVE
KANSAS CITY
(39.095677, -94.510085)"
